cell,x,density,momentum,energy,velocity,pressure,alpha,courant,reference_density,reference_momentum,reference_energy
77,0.775,0.27336844211363875,0.2536722711596089,0.8755162941785489,0.927950092550031,0.30312747617143243,2.1781021405469776,0.03533009401649109,0.265573711705307,0.24630703473721152,0.8720444974783743
78,0.785,0.27053556707990595,0.25066580293958735,0.8727892826160311,0.9265539671741209,0.30266463421670026,2.178598539531629,0.035338145899123666,0.265573711705307,0.24630703473721152,0.8720444974783743
79,0.795,0.2679813057998306,0.24745206306930248,0.8682738923682479,0.9233930043394053,0.30161045615778975,2.178598539531629,0.035338145899123666,0.265573711705307,0.24630703473721152,0.8720444974783743
80,0.805,0.26516659651718527,0.24299927501256774,0.859554154317165,0.9164022852207899,0.2992846435411635,2.178598539531629,0.035338145899123666,0.265573711705307,0.24630703473721152,0.8720444974783743
81,0.815,0.26112241635714545,0.23536544994563424,0.8419005462070193,0.901360569610069,0.2943303912769023,2.173190459563042,0.03525042367059176,0.26557371170530647,0.24630703473721102,0.8720444974783724
82,0.825,0.2541904805693235,0.2212138634959527,0.8070474855496479,0.870268087933461,0.28431592101805986,2.15695250748162,0.034987034565465654,0.265573711705307,0.24630703473721152,0.8720444974783743
83,0.835,0.2419324938373572,0.19591141008758675,0.7435328458324233,0.8097771695739687,0.2656842209033751,2.1203240213796066,0.034392899040976026,0.265573711705307,0.24630703473721152,0.8720444974783743
84,0.845,0.22190177532979913,0.15582240553248802,0.6426493798830057,0.7022134243896816,0.2351756349560811,2.0471443872339172,0.03320588246065608,0.265573711705307,0.24630703473721152,0.8720444974783743
85,0.855,0.1941035034367311,0.10385447683984085,0.512260188522602,0.5350468950896226,0.19379067233417802,1.9157618854614862,0.03107478123572632,0.13106078505848323,0.010619439280824218,0.27681922494820416
86,0.865,0.1641241180437817,0.05348782736438444,0.3860380625171339,0.32589864306302646,0.15092890293516512,1.710412936798787,0.0277439008663517,0.125,0,0.25
87,0.875,0.14149978279849992,0.020297280264025736,0.30231585443797676,0.14344389696293522,0.12034403757942656,1.452550443927031,0.023561220014572146,0.125,0,0.25
88,0.885,0.13030403727685794,0.0060012867185288195,0.2656888768040059,0.046056030526343876,0.10622027163274117,1.2288009687972394,0.01993187231534492,0.125,0,0.25
89,0.895,0.12644421651072513,0.001564526932964385,0.25412321413348715,0.012373258153975593,0.1016454139942688,1.1119023506651944,0.018035708176795437,0.125,0,0.25
90,0.905,0.1253656801514469,0.00038975716961861913,0.25103010845517987,0.0031089622705973157,0.10041180103400493,1.0725149636347306,0.017396821661353718,0.12499999999999946,0,0.24999999999999892
91,0.915,0.12508989201753443,0.00009532422520260401,0.25025213678933056,0.0007620457869548882,0.10010084018744739,1.0618526220231643,0.01722387222773442,0.12500000000000056,0,0.2500000000000011
92,0.925,0.12502174330094526,0.000023023526430356666,0.2500609105372434,0.000184156178137236,0.10002436336691244,1.059169285497654,0.01718034693571099,0.12499999999999946,0,0.24999999999999892
93,0.935,0.1250051882874746,0.0000054915614237793105,0.250014529076709,0.00004393066799075859,0.10000581158243403,1.0585102257600358,0.017169656600276726,0.12500000000000083,0,0.25000000000000167
94,0.945,0.12500122028221336,0.0000012914737389291092,0.25000341690554384,0.000010331689050821812,0.10000136675954892,1.0583505012544023,0.01716706577512867,0.12499999999999946,0,0.24999999999999892
95,0.955,0.12500028238572694,2.988518229965149e-7,0.25000079068691017,0.0000023908091829290064,0.10000031627462116,1.0583122662245357,0.017166445580522195,0.12500000000000056,0,0.2500000000000011
96,0.965,0.1250000641584311,6.789906490706502e-8,0.25000017964400373,5.431922404536246e-7,0.10000007185759413,1.0583032384312234,0.017166299144420534,0.12499999999999946,0,0.24999999999999892
97,0.975,0.12500001428064944,1.511322791654842e-8,0.25000003998584064,1.2090580951947952e-7,0.1000000159943359,1.0583011402388882,0.01716626511051042,0.12500000000000056,0,0.2500000000000011
98,0.985,0.1250000031073549,3.288515870705829e-9,0.25000000870059497,2.6308126311657147e-8,0.10000000348023796,1.0583006612910948,0.017166257341696346,0.12499999999999946,0,0.24999999999999892
99,0.995,0.12500000065959574,6.980505755785446e-10,0.2500000018468681,5.584404575160761e-9,0.10000000073874725,1.0583005541564894,0.01716625560391022,0.12500000000000056,0,0.2500000000000011
