x,z,t
369.750000000,94.833750000,45.000000000
370.840000000,92.378880000,45.200000000
371.910000000,89.916090000,45.400000000
372.960000000,87.447360000,45.600000000
373.990000000,84.974670000,45.800000000
375.000000000,82.500000000,46.000000000
375.990000000,80.025330000,46.200000000
376.960000000,77.552640000,46.400000000
377.910000000,75.083910000,46.600000000
378.840000000,72.621120000,46.800000000
379.750000000,70.166250000,47.000000000
380.640000000,67.721280000,47.200000000
381.510000000,65.288190000,47.400000000
382.360000000,62.868960000,47.600000000
383.190000000,60.465570000,47.800000000
384.000000000,58.080000000,48.000000000
384.790000000,55.714230000,48.200000000
385.560000000,53.370240000,48.400000000
386.310000000,51.050010000,48.600000000
387.040000000,48.755520000,48.800000000
387.750000000,46.488750000,49.000000000
388.440000000,44.251680000,49.200000000
389.110000000,42.046290000,49.400000000
389.760000000,39.874560000,49.600000000
390.390000000,37.738470000,49.800000000
391.000000000,35.640000000,50.000000000
391.590000000,33.581130000,50.200000000
392.160000000,31.563840000,50.400000000
392.710000000,29.590110000,50.600000000
393.240000000,27.661920000,50.800000000
393.750000000,25.781250000,51.000000000
394.240000000,23.950080000,51.200000000
394.710000000,22.170390000,51.400000000
395.160000000,20.444160000,51.600000000
395.590000000,18.773370000,51.800000000
396.000000000,17.160000000,52.000000000
396.390000000,15.606030000,52.200000000
396.760000000,14.113440000,52.400000000
397.110000000,12.684210000,52.600000000
397.440000000,11.320320000,52.800000000
397.750000000,10.023750000,53.000000000
398.040000000,8.796480000,53.200000000
398.310000000,7.640490000,53.400000000
398.560000000,6.557760000,53.600000000
398.790000000,5.550270000,53.800000000
399.000000000,4.620000000,54.000000000
399.190000000,3.768930000,54.200000000
399.360000000,2.999040000,54.400000000
399.510000000,2.312310000,54.600000000
399.640000000,1.710720000,54.800000000
399.750000000,1.196250000,55.000000000
399.840000000,0.770880000,55.200000000
399.910000000,0.436590000,55.400000000
399.960000000,0.195360000,55.600000000
399.990000000,0.049170000,55.800000000
400.000000000,0.000000000,56.000000000
