x,z,t
436.000000000,239.432320000,40.514285714
437.000000000,239.640910000,40.564285714
438.000000000,239.851840000,40.614285714
439.000000000,240.064930000,40.664285714
440.000000000,240.280000000,40.714285714
441.000000000,240.496870000,40.764285714
442.000000000,240.715360000,40.814285714
443.000000000,240.935290000,40.864285714
444.000000000,241.156480000,40.914285714
445.000000000,241.378750000,40.964285714
446.000000000,241.601920000,41.014285714
447.000000000,241.825810000,41.064285714
448.000000000,242.050240000,41.114285714
449.000000000,242.275030000,41.164285714
450.000000000,242.500000000,41.214285714
451.000000000,242.724970000,41.264285714
452.000000000,242.949760000,41.314285714
453.000000000,243.174190000,41.364285714
454.000000000,243.398080000,41.414285714
455.000000000,243.621250000,41.464285714
456.000000000,243.843520000,41.514285714
457.000000000,244.064710000,41.564285714
458.000000000,244.284640000,41.614285714
459.000000000,244.503130000,41.664285714
460.000000000,244.720000000,41.714285714
461.000000000,244.935070000,41.764285714
462.000000000,245.148160000,41.814285714
463.000000000,245.359090000,41.864285714
464.000000000,245.567680000,41.914285714
465.000000000,245.773750000,41.964285714
466.000000000,245.977120000,42.014285714
467.000000000,246.177610000,42.064285714
468.000000000,246.375040000,42.114285714
469.000000000,246.569230000,42.164285714
470.000000000,246.760000000,42.214285714
471.000000000,246.947170000,42.264285714
472.000000000,247.130560000,42.314285714
473.000000000,247.309990000,42.364285714
474.000000000,247.485280000,42.414285714
475.000000000,247.656250000,42.464285714
476.000000000,247.822720000,42.514285714
477.000000000,247.984510000,42.564285714
478.000000000,248.141440000,42.614285714
479.000000000,248.293330000,42.664285714
480.000000000,248.440000000,42.714285714
481.000000000,248.581270000,42.764285714
482.000000000,248.716960000,42.814285714
483.000000000,248.846890000,42.864285714
484.000000000,248.970880000,42.914285714
485.000000000,249.088750000,42.964285714
486.000000000,249.200320000,43.014285714
487.000000000,249.305410000,43.064285714
488.000000000,249.403840000,43.114285714
489.000000000,249.495430000,43.164285714
490.000000000,249.580000000,43.214285714
491.000000000,249.657370000,43.264285714
492.000000000,249.727360000,43.314285714
493.000000000,249.789790000,43.364285714
494.000000000,249.844480000,43.414285714
495.000000000,249.891250000,43.464285714
496.000000000,249.929920000,43.514285714
497.000000000,249.960310000,43.564285714
498.000000000,249.982240000,43.614285714
499.000000000,249.995530000,43.664285714
500.000000000,250.000000000,43.714285714
500.000000000,250.000000000,43.714285714
501.000000000,250.001490000,43.764285714
502.000000000,250.005920000,43.814285714
503.000000000,250.013230000,43.864285714
504.000000000,250.023360000,43.914285714
505.000000000,250.036250000,43.964285714
506.000000000,250.051840000,44.014285714
507.000000000,250.070070000,44.064285714
508.000000000,250.090880000,44.114285714
509.000000000,250.114210000,44.164285714
510.000000000,250.140000000,44.214285714
511.000000000,250.168190000,44.264285714
512.000000000,250.198720000,44.314285714
513.000000000,250.231530000,44.364285714
514.000000000,250.266560000,44.414285714
515.000000000,250.303750000,44.464285714
516.000000000,250.343040000,44.514285714
517.000000000,250.384370000,44.564285714
518.000000000,250.427680000,44.614285714
519.000000000,250.472910000,44.664285714
520.000000000,250.520000000,44.714285714
521.000000000,250.568890000,44.764285714
522.000000000,250.619520000,44.814285714
523.000000000,250.671830000,44.864285714
524.000000000,250.725760000,44.914285714
525.000000000,250.781250000,44.964285714
526.000000000,250.838240000,45.014285714
527.000000000,250.896670000,45.064285714
528.000000000,250.956480000,45.114285714
529.000000000,251.017610000,45.164285714
530.000000000,251.080000000,45.214285714
531.000000000,251.143590000,45.264285714
532.000000000,251.208320000,45.314285714
533.000000000,251.274130000,45.364285714
534.000000000,251.340960000,45.414285714
535.000000000,251.408750000,45.464285714
536.000000000,251.477440000,45.514285714
537.000000000,251.546970000,45.564285714
538.000000000,251.617280000,45.614285714
539.000000000,251.688310000,45.664285714
540.000000000,251.760000000,45.714285714
541.000000000,251.832290000,45.764285714
542.000000000,251.905120000,45.814285714
543.000000000,251.978430000,45.864285714
544.000000000,252.052160000,45.914285714
545.000000000,252.126250000,45.964285714
546.000000000,252.200640000,46.014285714
547.000000000,252.275270000,46.064285714
548.000000000,252.350080000,46.114285714
549.000000000,252.425010000,46.164285714
550.000000000,252.500000000,46.214285714
551.000000000,252.574990000,46.264285714
552.000000000,252.649920000,46.314285714
553.000000000,252.724730000,46.364285714
554.000000000,252.799360000,46.414285714
555.000000000,252.873750000,46.464285714
556.000000000,252.947840000,46.514285714
557.000000000,253.021570000,46.564285714
558.000000000,253.094880000,46.614285714
559.000000000,253.167710000,46.664285714
560.000000000,253.240000000,46.714285714
561.000000000,253.311690000,46.764285714
562.000000000,253.382720000,46.814285714
563.000000000,253.453030000,46.864285714
564.000000000,253.522560000,46.914285714
565.000000000,253.591250000,46.964285714
566.000000000,253.659040000,47.014285714
567.000000000,253.725870000,47.064285714
568.000000000,253.791680000,47.114285714
569.000000000,253.856410000,47.164285714
570.000000000,253.920000000,47.214285714
571.000000000,253.982390000,47.264285714
572.000000000,254.043520000,47.314285714
573.000000000,254.103330000,47.364285714
574.000000000,254.161760000,47.414285714
575.000000000,254.218750000,47.464285714
576.000000000,254.274240000,47.514285714
577.000000000,254.328170000,47.564285714
578.000000000,254.380480000,47.614285714
579.000000000,254.431110000,47.664285714
580.000000000,254.480000000,47.714285714
581.000000000,254.527090000,47.764285714
582.000000000,254.572320000,47.814285714
583.000000000,254.615630000,47.864285714
584.000000000,254.656960000,47.914285714
585.000000000,254.696250000,47.964285714
586.000000000,254.733440000,48.014285714
587.000000000,254.768470000,48.064285714
