scenario,step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
four-quadrants,94,0.11518016299443355,0.0011981378744456012,0.23004247189355542,1.7388093455415783,0,0.4,0.25,0.25,0.4359835017698823,2.163334051025197,0,100.73818433479539,0,0,0,0,43.051582128926015,0
four-quadrants,95,0.11637830086887915,0.0011978534515494515,0.2299878626974947,1.73922221507021,0,0.4,0.25,0.25,0.43604820857279736,2.1630254379581393,0,100.73750795519304,0,0,0,0,43.0499730647417,0
four-quadrants,96,0.1175761543204286,0.0011976986977369575,0.22995814996549585,1.7394469387582834,0,0.4,0.25,0.25,0.43615811346232825,2.162730646457221,0,100.73683155883438,0,0,0,0,43.04836377745387,0
four-quadrants,97,0.11877385301816556,0.0011976731137603033,0.22995323784197824,1.739484095783319,0,0.4,0.25,0.25,0.4362652123465876,2.162448884802676,0,100.73615507403399,0,0,0,0,43.04675409731409,0
four-quadrants,98,0.11997152613192587,0.001197453574548003,0.22991108631321658,1.7398030099995478,0,0.4000000000000001,0.25,0.25,0.4363788082134059,2.1621794864112918,0,100.73547842927142,0,0,0,0,43.04514429607298,0
four-quadrants,99,0.12116897970647388,0.0011972615976033817,0.2298742267398493,1.740081981668539,0,0.4,0.25,0.25,0.4364508756081787,2.1619217727058944,0,100.73480173874387,0,0,0,0,43.04353434259055,0
four-quadrants,100,0.12236624130407726,0.001197204544871849,0.229863272615395,1.740164905201172,0,0.4,0.25,0.25,0.4366114901528037,2.1616750851711513,0,100.73412498923365,0,0,0,0,43.041924058695486,0
four-quadrants,101,0.12356344584894911,0.0011970862770933617,0.22984056520192545,1.7403368271766202,0,0.4,0.25,0.25,0.4366785718139986,2.1614177072193064,0,100.73344810568376,0,0,0,0,43.04031353423124,0
four-quadrants,102,0.12476053212604248,0.0011968563466117118,0.22979641854944868,1.7406711667872496,0,0.4,0.25,0.25,0.4367261960914331,2.1611588511339908,0,100.73277112578039,0,0,0,0,43.038702927974995,0
four-quadrants,103,0.1259573884726542,0.0011967669468019978,0.2297792537859836,1.7408011968415564,0,0.39999999999999997,0.25,0.25,0.4369270046866687,2.1609112199194374,0,100.73209411620138,0,0,0,0,43.03709205357996,0
four-quadrants,104,0.12715415541945618,0.0011966888773743704,0.22976426445587914,1.7409147629953163,0,0.4,0.25,0.25,0.4369948340758369,2.1606742031950343,0,100.73141699845604,0,0,0,0,43.0354809012396,0
four-quadrants,105,0.12835084429683055,0.00119648039119697,0.22972423510981824,1.7412181166204883,0,0.39999999999999997,0.25,0.25,0.4370567522820086,2.160447254642656,0,100.73073976832022,0,0,0,0,43.033869655020624,0
four-quadrants,106,0.12954732468802752,0.0011963576417544461,0.22970066721685367,1.7413967701816544,0,0.4,0.25,0.25,0.4372130305630995,2.160229818722672,0,100.7300625031161,0,0,0,0,43.03225820307996,0
four-quadrants,107,0.13074368232978195,0.0011963114636683722,0.22969180102432746,1.7414639887717829,0,0.39999999999999997,0.25,0.25,0.43733023228706336,2.1600213766601164,0,100.72938515569797,0,0,0,0,43.03064644591515,0
four-quadrants,108,0.1319399937934503,0.0011961318218789434,0.22965730980075713,1.7417255316063154,0,0.39999999999999997,0.25,0.25,0.43735841745124937,2.1598214774817945,0,100.72870768411889,0,0,0,0,43.02903457144187,0
four-quadrants,109,0.13313612561532925,0.0011959746659271654,0.22962713585801578,1.7419544014490085,0,0.4,0.25,0.25,0.43750968851982225,2.1596296697442203,0,100.72803016732587,0,0,0,0,43.0274225540033,0
four-quadrants,110,0.13433210028125642,0.0011959408720579373,0.22962064743512398,1.7420036240992407,0,0.39999999999999997,0.25,0.25,0.43763637609672085,2.1594455137441972,0,100.72735259443074,0,0,0,0,43.02581022963513,0
four-quadrants,111,0.13552804115331435,0.0011957757847546075,0.22958895067288465,1.7422441229321826,0,0.4,0.25,0.25,0.437671552303396,2.159268635704756,0,100.72667489637767,0,0,0,0,43.02419778300554,0
four-quadrants,112,0.13672381693806895,0.0011956165893999041,0.2295583851647816,1.7424761012884455,0,0.39999999999999997,0.25,0.25,0.43783224635515766,2.159081358847385,0,100.72599715075197,0,0,0,0,43.022585210837505,0
four-quadrants,113,0.13791943352746885,0.0011955523007693028,0.22954604174770615,1.7425697997425704,0,0.4,0.25,0.25,0.43791445453569394,2.1588750519100004,0,100.72531935608404,0,0,0,0,43.02097238777018,0
four-quadrants,114,0.13911498582823817,0.0011954094858084392,0.22951862127522032,1.742777983666746,0,0.4,0.25,0.25,0.43799550474061844,2.158673149909153,0,100.72464145955956,0,0,0,0,43.01935942594003,0
four-quadrants,115,0.1403103953140466,0.0011952823757886847,0.22949421615142745,1.7429633160605122,0,0.39999999999999997,0.25,0.25,0.43812724499389893,2.1584793780623004,0,100.72396350825942,0,0,0,0,43.017746308298854,0
four-quadrants,116,0.1415056776898353,0.0011951863593711559,0.22947578099926194,1.7431033386537924,0,0.39999999999999997,0.25,0.25,0.4382261288992685,2.1582933267031725,0,100.72328549492785,0,0,0,0,43.0161329965955,0
four-quadrants,117,0.14270086404920646,0.0011950624752660281,0.2294519952510774,1.7432840344765832,0,0.4,0.25,0.25,0.43829168747947483,2.158114618814291,0,100.72260740339424,0,0,0,0,43.01451953329472,0
four-quadrants,118,0.14389592652447247,0.0011949600863885694,0.22943233658660533,1.7434334059053151,0,0.39999999999999997,0.25,0.25,0.43839569157975977,2.1579428911720338,0,100.72192925143828,0,0,0,0,43.01290589311278,0
four-quadrants,119,0.14509088661086103,0.0011948423214738948,0.22940972572298782,1.7436052405336986,0,0.39999999999999997,0.25,0.25,0.4385399269579616,2.1577778064661834,0,100.72125102834589,0,0,0,0,43.011292101223304,0
four-quadrants,120,0.14628572893233494,0.0011947346816777167,0.2293890588821216,1.7437623309032881,0,0.39999999999999997,0.25,0.25,0.43856120169126683,2.1576190426992325,0,100.72057274462674,0,0,0,0,43.00967814775479,0
four-quadrants,121,0.14748046361401265,0.001194603198247293,0.22936381406348025,1.743954257271347,0,0.4,0.25,0.25,0.4386541097788385,2.157466300357036,0,100.71989439605147,0,0,0,0,43.00806406933866,0
four-quadrants,122,0.14867506681225995,0.0011945196841578812,0.2293477793583132,1.7440761847319852,0,0.4,0.25,0.25,0.43882747232990116,2.1573192873829456,0,100.71921599795026,0,0,0,0,43.006449804034354,0
four-quadrants,123,0.14986958649641782,0.00119442612637546,0.22932981626408833,1.7442127958598013,0,0.4,0.25,0.25,0.4388830834766152,2.1571777353306363,0,100.71853752419679,0,0,0,0,43.00483536937691,0
four-quadrants,124,0.1510640126227933,0.0011942641765711633,0.22929872190166337,1.7444493221882995,0,0.4,0.25,0.25,0.43896018983535484,2.157041397075596,0,100.71785898209367,0,0,0,0,43.00322086289462,0
