scenario,i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
four-quadrants,87,0,0.4557291666666667,0.0026041666666666665,0.456919064102009,-0.198736813595576,0,1.0681018372400464,-0.43494970818553375,0,0.40995263108019486
four-quadrants,88,0,0.4609375,0.0026041666666666665,0.46044798656308694,-0.2002754450903856,0,1.068432686669831,-0.4349578039971415,0,0.40995080110971954
four-quadrants,89,0,0.4661458333333333,0.0026041666666666665,0.46349425316864185,-0.20160411865594208,0,1.068717971640839,-0.4349657353412506,0,0.4099490119125343
four-quadrants,90,0,0.4713541666666667,0.0026041666666666665,0.4660810629602422,-0.20273278031645667,0,1.068960190657786,-0.43497321909804826,0,0.4099474102489251
four-quadrants,91,0,0.4765625,0.0026041666666666665,0.46824291514414657,-0.2036761985089454,0,1.0691631277385227,-0.4349797763544261,0,0.409946245640181
four-quadrants,92,0,0.4817708333333333,0.0026041666666666665,0.4700221409163117,-0.2044524012024719,0,1.0693316507486248,-0.43498461754140005,0,0.40994593039095434
four-quadrants,93,0,0.4869791666666667,0.0026041666666666665,0.4714655516147817,-0.20508113733225203,0,1.0694715809965374,-0.4349864727758875,0,0.4099471282864102
four-quadrants,94,0,0.4921875,0.0026041666666666665,0.47262148544287663,-0.2055824765445036,0,1.0695896810708925,-0.4349833489940891,0,0.4099508815999916
four-quadrants,95,0,0.4973958333333333,0.0026041666666666665,0.47353744412958426,-0.20597562082733226,0,1.069693801394957,-0.434972193605384,0,0.4099587870338837
four-quadrants,96,0,0.5026041666666666,0.0026041666666666665,0.4742584158076095,-0.20627796042737753,0,1.069793216542802,-0.43494844488127643,0,0.4099732309968869
four-quadrants,97,0,0.5078125,0.0026041666666666665,0.47482589477185594,-0.20650437114896264,0,1.0698991697215832,-0.434905453604597,0,0.40999769244745893
four-quadrants,98,0,0.5130208333333334,0.0026041666666666665,0.4752775409159847,-0.20666672500496366,0,1.070025627127616,-0.43483377019385894,0,0.41003711660954134
four-quadrants,99,0,0.5182291666666666,0.0026041666666666665,0.4756473744160026,-0.2067735730234299,0,1.0701902221533712,-0.4347203078274225,0,0.41009835459828425
four-quadrants,100,0,0.5234375,0.0026041666666666665,0.4759663733602761,-0.20682995735657764,0,1.0704153422758445,-0.43454741539066793,0,0.4101906522314052
four-quadrants,101,0,0.5286458333333334,0.0026041666666666665,0.4762633299231746,-0.20683731750056997,0,1.0707292799691803,-0.434291923197057,0,0.4103261567064236
four-quadrants,102,0,0.5338541666666666,0.0026041666666666665,0.476565820285014,-0.20679346906204846,0,1.0711673364211205,-0.43392425612557356,0,0.410520394121573
four-quadrants,103,0,0.5390625,0.0026041666666666665,0.4769011516704301,-0.20669264914486704,0,1.0717727389048068,-0.4334077374753441,0,0.41079265687819033
four-quadrants,104,0,0.5442708333333334,0.0026041666666666665,0.4772971650294247,-0.20652563609102023,0,1.0725972169575317,-0.4326982249691096,0,0.41116623155357257
four-quadrants,105,0,0.5494791666666666,0.0026041666666666665,0.4777827938327323,-0.20627995959107442,0,1.0737010869525272,-0.4317442198709468,0,0.4116683987352791
four-quadrants,106,0,0.5546875,0.0026041666666666665,0.47838830855081815,-0.2059402179038044,0,1.075152725023648,-0.4304875646473451,0,0.4123301494357887
four-quadrants,107,0,0.5598958333333334,0.0026041666666666665,0.4791452123309285,-0.205488511680513,0,1.0770273656754519,-0.4288647917003278,0,0.413185588718446
four-quadrants,108,0,0.5651041666666666,0.0026041666666666665,0.4800857941542625,-0.2049049902669838,0,1.079405242221216,-0.42680910945917966,0,0.4142710336045678
