i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
113,0,0.5911458333333334,0.0026041666666666665,0.5324512163758375,-0.000040353481948624,0.6421361669492581,1.1371147612798875,-0.00007578812989346235,1.2059999999999964,0.29996266043213143
114,0,0.5963541666666666,0.0026041666666666665,0.5324441209269087,-0.00004034886065606407,0.6421276098378506,1.137109597960882,-0.00007578046046564003,1.2059999999999973,0.29996265907993264
115,0,0.6015625,0.0026041666666666665,0.532434834222676,-0.000040344377320808094,0.6421164100725463,1.1371028420076,-0.00007577336178559494,1.2059999999999982,0.29996265808213624
116,0,0.6067708333333334,0.0026041666666666665,0.5324227963569341,-0.000040339978270565474,0.6421018924064619,1.1370940862261183,-0.00007576681266577795,1.2059999999999986,0.2999626574307226
117,0,0.6119791666666666,0.0026041666666666665,0.5324073391584069,-0.00004033559514698738,0.6420832510250382,1.1370828446758425,-0.00007576077972694204,1.205999999999999,0.2999626571119267
118,0,0.6171875,0.0026041666666666665,0.5323876752302587,-0.00004033114531072594,0.6420595363276914,1.1370685447015845,-0.00007575521971518715,1.205999999999999,0.2999626571073358
119,0,0.6223958333333334,0.0026041666666666665,0.532362888737341,-0.000040326532475334055,0.6420296438172328,1.1370505202368373,-0.00007575008199948081,1.2059999999999993,0.29996265739507083
120,0,0.6276041666666666,0.0026041666666666665,0.53233192894384,-0.00004032164756520811,0.641992306306271,1.1370280071072238,-0.00007574531109792208,1.206,0.2999626579509818
121,0,0.6328125,0.0026041666666666665,0.5322936076377112,-0.000040316369806444444,0.6419460908110798,1.137000141160351,-0.00007574084908771723,1.2060000000000002,0.2999626587497887
122,0,0.6380208333333334,0.0026041666666666665,0.5322466016735661,-0.00004031056808267697,0.6418894016183209,1.1369659601176205,-0.00007573663778392704,1.2060000000000004,0.2999626597661118
123,0,0.6432291666666666,0.0026041666666666665,0.532189461904084,-0.000040304102603601877,0.6418204910563255,1.136924410071509,-0.00007573262059605729,1.2060000000000004,0.2999626609753508
124,0,0.6484375,0.0026041666666666665,0.5321206297326649,-0.00004029682695223741,0.6417374794575943,1.1368743575247104,-0.00007572874401145161,1.2060000000000006,0.29996266235438673
125,0,0.6536458333333334,0.0026041666666666665,0.532038462389302,-0.00004028859058288921,0.6416383856414987,1.136814607772494,-0.00007572495868430154,1.2060000000000008,0.2999626638820977
126,0,0.6588541666666666,0.0026041666666666665,0.5319412677931186,-0.00004027924184075329,0.6415211689585014,1.1367439302562052,-0.00007572122014120289,1.2060000000000008,0.2999626655396928
127,0,0.6640625,0.0026041666666666665,0.5318273495097683,-0.00004026863155989144,0.641383783508781,1.1366610912575184,-0.00007571748913817718,1.2060000000000008,0.29996266731088134
128,0,0.6692708333333334,0.0026041666666666665,0.5316950618387398,-0.00004025661726781621,0.6412242445775206,1.136564893958984,-0.00007571373171794817,1.2060000000000006,0.2999626691818999
129,0,0.6744791666666666,0.0026041666666666665,0.5315428744831225,-0.000040243067987815424,0.641040706626646,1.1364542254728331,-0.0000757099190294822,1.2060000000000004,0.29996267114142633
130,0,0.6796875,0.0026041666666666665,0.5313694455824677,-0.00004022786957891809,0.6408315513724564,1.136328109951366,-0.00007570602697116274,1.2060000000000006,0.2999626731804114
131,0,0.6848958333333334,0.0026041666666666665,0.5311737011599054,-0.000040210930497972215,0.6405954835988462,1.136185766361766,-0.00007570203571857006,1.2060000000000006,0.2999626752918548
132,0,0.6901041666666666,0.0026041666666666665,0.5309549182911413,-0.000040192187807767314,0.6403316314591166,1.1360266689674567,-0.00007569792918977827,1.2060000000000004,0.2999626774705506
133,0,0.6953125,0.0026041666666666665,0.5307128085986972,-0.0000401716131973752,0.6400396471700291,1.1358506080459605,-0.00007569369449259193,1.2060000000000006,0.29996267971282553
134,0,0.7005208333333334,0.0026041666666666665,0.530447598069809,-0.00004014921872952078,0.6397198032721901,1.1356577479332723,-0.0000756893213874766,1.2060000000000008,0.2999626820162831
135,0,0.7057291666666666,0.0026041666666666665,0.5301600987530224,-0.000040125061991049785,0.6393730790961455,1.1354486791623224,-0.00007568480178992542,1.2060000000000008,0.2999626843795671
136,0,0.7109375,0.0026041666666666665,0.5298517676656319,-0.00004009925030125548,0.6390012318047527,1.1352244613009979,-0.00007568012932734142,1.206000000000001,0.2999626868021494
137,0,0.7161458333333334,0.0026041666666666665,0.5295247482911833,-0.00004007194363268281,0.6386068464391675,1.1349866531294155,-0.00007567529895816584,1.2060000000000008,0.29996268928414765
138,0,0.7213541666666666,0.0026041666666666665,0.5291818903972278,-0.00004004335592204002,0.6381933598190573,1.1347373270513674,-0.00007567030665388353,1.206000000000001,0.2999626918261716
139,0,0.7265625,0.0026041666666666665,0.5288267445715982,-0.000040013754498117376,0.6377650539533479,1.1344790651206862,-0.00007566514914167675,1.206000000000001,0.2999626944291975
140,0,0.7317708333333334,0.0026041666666666665,0.5284635288493535,-0.00003998345742563226,0.6373270157923208,1.1342149347715074,-0.00007565982370191177,1.2060000000000006,0.2999626970944668
141,0,0.7369791666666666,0.0026041666666666665,0.5280970660449299,-0.00003995282865779992,0.6368850616501859,1.1339484432448823,-0.00007565432801401094,1.2060000000000008,0.2999626998234071
142,0,0.7421875,0.0026041666666666665,0.5277326918525883,-0.00003992227099992446,0.6364456263742219,1.133683470757616,-0.0000756486600437404,1.2060000000000006,0.29996270261757074
143,0,0.7473958333333334,0.0026041666666666665,0.527376135349287,-0.00003989221700452897,0.6360156192312403,1.1334241836016827,-0.00007564281796351653,1.2060000000000004,0.299962705478586
144,0,0.7526041666666666,0.0026041666666666665,0.5270333751285083,-0.00003986311804179086,0.6356022504049814,1.133174929522064,-0.00007563680010221535,1.2060000000000006,0.2999627084081202
145,0,0.7578125,0.0026041666666666665,0.526710475804653,-0.000039835431900500275,0.635212833820412,1.1329401188197235,-0.00007563060491562064,1.2060000000000008,0.29996271140785036
146,0,0.7630208333333334,0.0026041666666666665,0.5264134109497237,-0.00003980960937835188,0.6348545736053672,1.132724095587915,-0.0000756242309756694,1.2060000000000008,0.29996271447943706
147,0,0.7682291666666666,0.0026041666666666665,0.5261478795613256,-0.00003978608039708226,0.6345343427509589,1.1325310042443513,-0.0000756176769737318,1.2060000000000004,0.29996271762450294
148,0,0.7734375,0.0026041666666666665,0.5259191238352066,-0.00003976524023099433,0.6342584633452596,1.1323646570120596,-0.00007561094173760168,1.2060000000000008,0.2999627208446097
149,0,0.7786458333333334,0.0026041666666666665,0.5257317562720205,-0.00003974743645368986,0.6340324980640569,1.1322284081882534,-0.00007560402425666676,1.2060000000000004,0.2999627241412376
150,0,0.7838541666666666,0.0026041666666666665,0.5255896039597686,-0.00003973295719718194,0.633861062375481,1.1321250409036605,-0.00007559692371735593,1.2060000000000002,0.2999627275157603
151,0,0.7890625,0.0026041666666666665,0.5254955772427808,-0.000039722021267505054,0.633747666154794,1.1320566716161755,-0.00007558963954734359,1.2060000000000006,0.29996273096941917
152,0,0.7942708333333334,0.0026041666666666665,0.5254515689461895,-0.0000397147705677926,0.6336945921491047,1.1320246768250377,-0.00007558217144054187,1.2060000000000004,0.29996273450330524
153,0,0.7994791666666666,0.0026041666666666665,0.5254583888845781,-0.00003971126516525028,0.6337028169948014,1.1320296454443701,-0.00007557451932501782,1.2060000000000004,0.29996273811837
154,0,0.8046875,0.0026041666666666665,0.5255157338971999,-0.00003971148132497351,0.633771975080023,1.1320713570116545,-0.00007556668385639958,1.206,0.2999627418151873
155,0,0.8098958333333334,0.0026041666666666665,0.5256222021247913,-0.00003971531243049577,0.6339003757624984,1.132148792070528,-0.00007555866603417697,1.2060000000000002,0.2999627455941294
156,0,0.8151041666666666,0.0026041666666666665,0.5257753471078217,-0.000039722573245012545,0.6340850686120332,1.1322601715116996,-0.00007555046744492295,1.2060000000000004,0.2999627494552456
157,0,0.8203125,0.0026041666666666665,0.52597176636994,-0.000039733006702242894,0.6343219502421478,1.1324030209923006,-0.00007554209036060094,1.2060000000000002,0.2999627533982113
158,0,0.8255208333333334,0.0026041666666666665,0.5262072219952665,-0.000039746293118649506,0.6346059097262914,1.1325742586217193,-0.00007553353784834038,1.206,0.29996275742227063
159,0,0.8307291666666666,0.0026041666666666665,0.5264767874104467,-0.00003976206138811431,0.6349310056169988,1.1327703017039958,-0.00007552481389291604,1.2060000000000002,0.2999627615261738
160,0,0.8359375,0.0026041666666666665,0.526775013465443,-0.00003977990163574193,0.6352906662393244,1.1329871875145947,-0.00007551592353260229,1.2060000000000004,0.2999627657081096
161,0,0.8411458333333334,0.0026041666666666665,0.5270961061875041,-0.00003979937875414428,0.6356779040621301,1.1332207025661045,-0.00007550687301033947,1.2060000000000002,0.2999627699656307
162,0,0.8463541666666666,0.0026041666666666665,0.5274341082949272,-0.00003982004622398009,0.6360855346036823,1.1334665146081122,-0.00007549766994157643,1.2060000000000002,0.29996277429557255
163,0,0.8515625,0.0026041666666666665,0.5277830767076979,-0.000039841459632682054,0.6365063905094838,1.1337203017159143,-0.00007548832350065566,1.2060000000000002,0.29996277869396526
164,0,0.8567708333333334,0.0026041666666666665,0.5281372488590187,-0.00003986318934788479,0.6369335221239767,1.133977873235012,-0.00007547884462609813,1.2060000000000002,0.2999627831559361
165,0,0.8619791666666666,0.0026041666666666665,0.5284911915462689,-0.00003988483187515384,0.6373603770048004,1.1342352780279465,-0.0000754692462488506,1.2060000000000002,0.29996278767560514
166,0,0.8671875,0.0026041666666666665,0.5288399272897445,-0.000039906019522260504,0.6377809523114318,1.1344888963643565,-0.00007545954354614476,1.206,0.2999627922459673
167,0,0.8723958333333334,0.0026041666666666665,0.529179034602396,-0.000039926428099273625,0.6381899157304897,1.1347355128386198,-0.00007544975422027584,1.2060000000000002,0.299962796858766
168,0,0.8776041666666666,0.0026041666666666665,0.5295047201128013,-0.00003994578250373588,0.6385826924560385,1.1349723688186235,-0.00007543989880812803,1.2060000000000004,0.29996280150435173
169,0,0.8828125,0.0026041666666666665,0.5298138620233754,-0.000039963860155214575,0.638955517600191,1.1351971940489665,-0.00007543000102449446,1.2060000000000004,0.29996280617152565
170,0,0.8880208333333334,0.0026041666666666665,0.5301040258287114,-0.000039980492352581814,0.6393054551494263,1.135408218081188,-0.00007542008814228552,1.2060000000000006,0.29996281084736703
171,0,0.8932291666666666,0.0026041666666666665,0.5303734544807347,-0.00003999556372256396,0.6396303861037662,1.1356041631212113,-0.0000754101914126186,1.2060000000000004,0.2999628155170414
