step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
80,0.07788188920786847,0.0009858927408439686,0.18929140624204197,2.1131440034236446,0,0.4,0.138,0.028999999999999984,1.2060000000000004,1.7770104041741033,-53.215681545641196,33.90416173371226,-29.561838819579624,-131.23918599923584,-53.253674647322036,-29.5457931312236,33.987516210177446,-131.34852962657322
81,0.07886778194871244,0.0009859453247510045,0.18930150235219287,2.1130313020749587,0,0.39999999999999997,0.138,0.02899999999999997,1.2060000000000004,1.775235126028074,-53.25367512401424,33.98751564539328,-29.54579313002743,-131.3485312993494,-53.29167025857776,-29.529746585860046,34.070869614581014,-131.45787943415073
82,0.07985372727346345,0.000985997102082157,0.18931144359977414,2.112920341179403,0,0.4000000000000001,0.138,0.028999999999999984,1.2060000000000004,1.7773218500375862,-53.29167094390052,34.0708688026173,-29.529746584167807,-131.4578818390221,-53.32966808312627,-29.51369919731963,34.15422237186691,-131.56723444729298
83,0.0808397243755456,0.0009860480822559488,0.18932123179314217,2.1128111000093823,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000004,1.787085667531305,-53.329669057997904,34.15422121685774,-29.513699194955937,-131.567237868194,-53.367668175152474,-29.497650978405822,34.237574486665224,-131.67659491921384
84,0.08182577245780155,0.00098609827589549,0.18933086897193407,2.112703555273361,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7826138617848288,-53.36766954777718,34.2375728604199,-29.4976509751452,-131.67659973581812,-53.405670618045725,-29.481601941701133,34.32092592405865,-131.78596120373146
85,0.08281187073369704,0.0009861476947086213,0.1893403573840553,2.112597681373579,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7778516662042414,-53.405672531672394,34.32092365687173,-29.48160193725822,-131.78596791866906,-53.44367553269713,-29.46555209954046,34.40427660078336,-131.89533378444867
86,0.08379801842840566,0.000986196351325235,0.1893496994544451,2.1124934507553017,0,0.4,0.138,0.02899999999999997,1.2060000000000006,1.7779926509427455,-53.443678175135496,34.404273470162835,-29.46555209356169,-131.89534305669045,-53.48168308768552,-29.44950146398881,34.48762637382489,-132.00471331055988
87,0.0847842147797309,0.000986244259121616,0.18935889775135026,2.1123908342836124,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.78300653951616,-53.48168670285599,34.48762209081185,-29.449501456041858,-132.00472599593584,-53.51969351165869,-29.433450046819885,34.57097502646402,-132.11410064035869
88,0.08577045903885251,0.0009862914320488976,0.18936795495338835,2.11228980161114,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7885591458428913,-53.519698413468184,34.570969219199185,-29.4334500363891,-132.11411784022798,-53.557707108237196,-29.41739785950389,34.65432225139798,-132.22349689359268
89,0.08675675047090141,0.000986337884474741,0.18937687381915028,2.112190321517236,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7816350953176567,-53.55771369707815,34.654314445581846,-29.41739784598643,-132.22352001271466,-53.595724273778494,-29.40134491319912,34.73766763054874,-132.332903513854
